preferred_name,cas,issue_type,recommended_action
"tris(2,2,2-trifluoroethyl)amine",,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
dimethylaminosilane,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
diethylaminosilane,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
bis(dimethylamino)silane,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
bis(diethylamino)silane,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
tris(dimethylamino)silane,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
tetrakis(dimethylamino)silane,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
hexamethyldisilazane,999-97-3,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
tert-butylaminosilane,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
bis(tert-butylamino)silane,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
tris(dimethylamino)borane,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
tetrakis(dimethylamido)titanium,3275-24-9,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_n-propyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_isopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_n-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_tert-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_primary_amine_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_methyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_ethyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_n-propyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_isopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_n-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_tert-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_methyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_n-propyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_isopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_n-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_tert-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_ethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_n-propyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_isopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_n-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_tert-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-propyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_n-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_tert-butyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_isopropyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-butyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-butyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-butyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-butyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-butyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-butyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-butyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-butyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-butyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_n-butyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_tert-butyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_tert-butyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_tert-butyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_tert-butyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_tert-butyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_tert-butyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_tert-butyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_tert-butyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_tert-butyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_tert-butyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_vinyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_vinyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_vinyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_vinyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_vinyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_vinyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_vinyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_vinyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_vinyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_vinyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_allyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_allyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_allyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_allyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_allyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_allyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_allyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_allyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_allyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_cyclopropyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_cyclopropyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_cyclopropyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_cyclopropyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_cyclopropyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_cyclopropyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_cyclopropyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_cyclopropyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoromethyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoromethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoromethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoromethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoromethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_difluoromethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_difluoromethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_difluoromethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_difluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_difluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_difluoromethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoroethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoroethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoroethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoroethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_secondary_amine_fluoroethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
